training on pkl 1
Train Epoch: 1 [0/4654349 (0%)]	lr:0.008 Loss: 0.692464	TrainAcc: 49.22
Train Epoch: 1 [256000/4623352 (6%)]	lr:0.008 Loss: 0.158900	TrainAcc: 94.53
Train Epoch: 1 [384000/4623352 (8%)]	lr:0.008 Loss: 0.124998	TrainAcc: 95.31
Train Epoch: 1 [512000/4623352 (11%)]	lr:0.008 Loss: 0.163199	TrainAcc: 91.80
Train Epoch: 1 [640000/4623352 (14%)]	lr:0.008 Loss: 0.140994	TrainAcc: 94.53
Train Epoch: 1 [768000/4623352 (17%)]	lr:0.008 Loss: 0.111032	TrainAcc: 95.70
Train Epoch: 1 [896000/4623352 (19%)]	lr:0.008 Loss: 0.189128	TrainAcc: 92.19
Train Epoch: 1 [1024000/4623352 (22%)]	lr:0.008 Loss: 0.170433	TrainAcc: 94.53
Train Epoch: 1 [1152000/4623352 (25%)]	lr:0.008 Loss: 0.111502	TrainAcc: 95.70
Train Epoch: 1 [1280000/4623352 (28%)]	lr:0.008 Loss: 0.169564	TrainAcc: 94.14
Train Epoch: 1 [1408000/4623352 (30%)]	lr:0.008 Loss: 0.139781	TrainAcc: 94.14
Train Epoch: 1 [1536000/4623352 (33%)]	lr:0.008 Loss: 0.124305	TrainAcc: 96.09
Train Epoch: 1 [1664000/4623352 (36%)]	lr:0.008 Loss: 0.207095	TrainAcc: 92.58
Train Epoch: 1 [1792000/4623352 (39%)]	lr:0.008 Loss: 0.163177	TrainAcc: 93.75
Train Epoch: 1 [1920000/4623352 (42%)]	lr:0.008 Loss: 0.155651	TrainAcc: 94.53
Train Epoch: 1 [2048000/4623352 (44%)]	lr:0.008 Loss: 0.172980	TrainAcc: 92.97
Train Epoch: 1 [2176000/4623352 (47%)]	lr:0.008 Loss: 0.166583	TrainAcc: 92.58
Train Epoch: 1 [2304000/4623352 (50%)]	lr:0.008 Loss: 0.134607	TrainAcc: 95.31
Train Epoch: 1 [2432000/4623352 (53%)]	lr:0.008 Loss: 0.157229	TrainAcc: 94.14
Train Epoch: 1 [2560000/4623352 (55%)]	lr:0.008 Loss: 0.170908	TrainAcc: 94.14
Train Epoch: 1 [2688000/4623352 (58%)]	lr:0.008 Loss: 0.175328	TrainAcc: 93.36
Train Epoch: 1 [2816000/4623352 (61%)]	lr:0.008 Loss: 0.134803	TrainAcc: 94.92
Train Epoch: 1 [2944000/4623352 (64%)]	lr:0.008 Loss: 0.167308	TrainAcc: 94.53
Train Epoch: 1 [3072000/4623352 (66%)]	lr:0.008 Loss: 0.160815	TrainAcc: 93.36
Train Epoch: 1 [3200000/4623352 (69%)]	lr:0.008 Loss: 0.140624	TrainAcc: 95.31
Train Epoch: 1 [3328000/4623352 (72%)]	lr:0.008 Loss: 0.140752	TrainAcc: 94.53
Train Epoch: 1 [3456000/4623352 (75%)]	lr:0.008 Loss: 0.135665	TrainAcc: 94.53
Train Epoch: 1 [3584000/4623352 (78%)]	lr:0.008 Loss: 0.158826	TrainAcc: 93.75
Train Epoch: 1 [3712000/4623352 (80%)]	lr:0.008 Loss: 0.179324	TrainAcc: 93.75
Train Epoch: 1 [3840000/4623352 (83%)]	lr:0.008 Loss: 0.178704	TrainAcc: 93.36
Train Epoch: 1 [3968000/4623352 (86%)]	lr:0.008 Loss: 0.127563	TrainAcc: 93.75
Train Epoch: 1 [4096000/4623352 (89%)]	lr:0.008 Loss: 0.148883	TrainAcc: 93.36
Train Epoch: 1 [4224000/4623352 (91%)]	lr:0.008 Loss: 0.199641	TrainAcc: 91.41
Train Epoch: 1 [4352000/4623352 (94%)]	lr:0.008 Loss: 0.222176	TrainAcc: 91.02
Train Epoch: 1 [4480000/4623352 (97%)]	lr:0.008 Loss: 0.133626	TrainAcc: 96.09
Train Epoch: 1 [4608000/4623352 (100%)]	lr:0.008 Loss: 0.081675	TrainAcc: 97.27
time/epoch: 318.597582s

Test set: Average loss: 0.0002, Accuracy: 447225/476257 (93.90%)

training on pkl 4
Train Epoch: 1 [0/4717484 (0%)]	lr:0.008 Loss: 0.150003	TrainAcc: 94.14
Train Epoch: 1 [128000/4717484 (3%)]	lr:0.008 Loss: 0.228840	TrainAcc: 91.41
Train Epoch: 1 [256000/4717484 (5%)]	lr:0.008 Loss: 0.170653	TrainAcc: 93.75
Train Epoch: 1 [384000/4717484 (8%)]	lr:0.008 Loss: 0.152904	TrainAcc: 93.75
Train Epoch: 1 [512000/4717484 (11%)]	lr:0.008 Loss: 0.149737	TrainAcc: 94.92
Train Epoch: 1 [640000/4717484 (14%)]	lr:0.008 Loss: 0.186718	TrainAcc: 92.58
Train Epoch: 1 [768000/4717484 (16%)]	lr:0.008 Loss: 0.140753	TrainAcc: 95.31
Train Epoch: 1 [896000/4717484 (19%)]	lr:0.008 Loss: 0.166086	TrainAcc: 93.36
Train Epoch: 1 [1024000/4717484 (22%)]	lr:0.008 Loss: 0.109427	TrainAcc: 96.09
Train Epoch: 1 [1152000/4717484 (24%)]	lr:0.008 Loss: 0.081317	TrainAcc: 96.88
Train Epoch: 1 [1280000/4717484 (27%)]	lr:0.008 Loss: 0.156966	TrainAcc: 93.75
Train Epoch: 1 [1408000/4717484 (30%)]	lr:0.008 Loss: 0.101715	TrainAcc: 97.27
Train Epoch: 1 [1536000/4717484 (33%)]	lr:0.008 Loss: 0.158486	TrainAcc: 93.75
Train Epoch: 1 [1664000/4717484 (35%)]	lr:0.008 Loss: 0.177909	TrainAcc: 92.97
Train Epoch: 1 [1792000/4717484 (38%)]	lr:0.008 Loss: 0.159870	TrainAcc: 93.75
Train Epoch: 1 [1920000/4717484 (41%)]	lr:0.008 Loss: 0.125096	TrainAcc: 94.92
Train Epoch: 1 [2048000/4717484 (43%)]	lr:0.008 Loss: 0.142322	TrainAcc: 93.75
Train Epoch: 1 [2176000/4717484 (46%)]	lr:0.008 Loss: 0.109996	TrainAcc: 94.53
Train Epoch: 1 [2304000/4717484 (49%)]	lr:0.008 Loss: 0.124346	TrainAcc: 95.70
Train Epoch: 1 [2432000/4717484 (52%)]	lr:0.008 Loss: 0.121785	TrainAcc: 94.53
Train Epoch: 1 [2560000/4717484 (54%)]	lr:0.008 Loss: 0.185597	TrainAcc: 93.75
Train Epoch: 1 [2688000/4717484 (57%)]	lr:0.008 Loss: 0.134940	TrainAcc: 94.14
Train Epoch: 1 [2816000/4717484 (60%)]	lr:0.008 Loss: 0.126189	TrainAcc: 95.31
Train Epoch: 1 [2944000/4717484 (62%)]	lr:0.008 Loss: 0.149102	TrainAcc: 93.36
Train Epoch: 1 [3072000/4717484 (65%)]	lr:0.008 Loss: 0.177630	TrainAcc: 93.36
Train Epoch: 1 [3200000/4717484 (68%)]	lr:0.008 Loss: 0.129056	TrainAcc: 95.31
Train Epoch: 1 [3328000/4717484 (71%)]	lr:0.008 Loss: 0.162728	TrainAcc: 92.97
Train Epoch: 1 [3456000/4717484 (73%)]	lr:0.008 Loss: 0.191487	TrainAcc: 92.58
Train Epoch: 1 [3584000/4717484 (76%)]	lr:0.008 Loss: 0.184889	TrainAcc: 91.80
Train Epoch: 1 [3712000/4717484 (79%)]	lr:0.008 Loss: 0.187678	TrainAcc: 91.80
Train Epoch: 1 [3840000/4717484 (81%)]	lr:0.008 Loss: 0.155168	TrainAcc: 93.36
Train Epoch: 1 [3968000/4717484 (84%)]	lr:0.008 Loss: 0.105944	TrainAcc: 96.48
Train Epoch: 1 [4096000/4717484 (87%)]	lr:0.008 Loss: 0.116044	TrainAcc: 95.31
Train Epoch: 1 [4224000/4717484 (90%)]	lr:0.008 Loss: 0.172452	TrainAcc: 93.36
Train Epoch: 1 [4352000/4717484 (92%)]	lr:0.008 Loss: 0.155185	TrainAcc: 92.97
Train Epoch: 1 [4480000/4717484 (95%)]	lr:0.008 Loss: 0.141032	TrainAcc: 95.31
Train Epoch: 1 [4608000/4717484 (98%)]	lr:0.008 Loss: 0.138102	TrainAcc: 93.75
time/epoch: 302.049266s

Test set: Average loss: 0.0002, Accuracy: 448378/476257 (94.15%)

training on pkl 5
Train Epoch: 1 [0/4633221 (0%)]	lr:0.008 Loss: 0.158497	TrainAcc: 94.14
Train Epoch: 1 [128000/4633221 (3%)]	lr:0.008 Loss: 0.157055	TrainAcc: 92.97
Train Epoch: 1 [256000/4633221 (6%)]	lr:0.008 Loss: 0.142820	TrainAcc: 93.75
Train Epoch: 1 [384000/4633221 (8%)]	lr:0.008 Loss: 0.102164	TrainAcc: 97.27
Train Epoch: 1 [512000/4633221 (11%)]	lr:0.008 Loss: 0.197365	TrainAcc: 94.14
Train Epoch: 1 [640000/4633221 (14%)]	lr:0.008 Loss: 0.143331	TrainAcc: 94.92
Train Epoch: 1 [768000/4633221 (17%)]	lr:0.008 Loss: 0.152152	TrainAcc: 92.19
Train Epoch: 1 [896000/4633221 (19%)]	lr:0.008 Loss: 0.129144	TrainAcc: 94.14
Train Epoch: 1 [1024000/4633221 (22%)]	lr:0.008 Loss: 0.137240	TrainAcc: 94.14
Train Epoch: 1 [1152000/4633221 (25%)]	lr:0.008 Loss: 0.195894	TrainAcc: 92.19
Train Epoch: 1 [1280000/4633221 (28%)]	lr:0.008 Loss: 0.133472	TrainAcc: 93.75
Train Epoch: 1 [1408000/4633221 (30%)]	lr:0.008 Loss: 0.185083	TrainAcc: 93.75
Train Epoch: 1 [1536000/4633221 (33%)]	lr:0.008 Loss: 0.133196	TrainAcc: 95.70
Train Epoch: 1 [1664000/4633221 (36%)]	lr:0.008 Loss: 0.178155	TrainAcc: 93.36
Train Epoch: 1 [1792000/4633221 (39%)]	lr:0.008 Loss: 0.113276	TrainAcc: 96.09
Train Epoch: 1 [1920000/4633221 (41%)]	lr:0.008 Loss: 0.099706	TrainAcc: 97.27
Train Epoch: 1 [2048000/4633221 (44%)]	lr:0.008 Loss: 0.153040	TrainAcc: 94.53
Train Epoch: 1 [2176000/4633221 (47%)]	lr:0.008 Loss: 0.106365	TrainAcc: 94.92
Train Epoch: 1 [2304000/4633221 (50%)]	lr:0.008 Loss: 0.157742	TrainAcc: 95.70
Train Epoch: 1 [2432000/4633221 (52%)]	lr:0.008 Loss: 0.095856	TrainAcc: 95.70
Train Epoch: 1 [2560000/4633221 (55%)]	lr:0.008 Loss: 0.154964	TrainAcc: 95.31
Train Epoch: 1 [2688000/4633221 (58%)]	lr:0.008 Loss: 0.142074	TrainAcc: 95.70
Train Epoch: 1 [2816000/4633221 (61%)]	lr:0.008 Loss: 0.120527	TrainAcc: 95.70
Train Epoch: 1 [2944000/4633221 (64%)]	lr:0.008 Loss: 0.116664	TrainAcc: 96.09
Train Epoch: 1 [3072000/4633221 (66%)]	lr:0.008 Loss: 0.113276	TrainAcc: 96.09
Train Epoch: 1 [3200000/4633221 (69%)]	lr:0.008 Loss: 0.178057	TrainAcc: 93.75
Train Epoch: 1 [3328000/4633221 (72%)]	lr:0.008 Loss: 0.183804	TrainAcc: 93.36
Train Epoch: 1 [3456000/4633221 (75%)]	lr:0.008 Loss: 0.168818	TrainAcc: 93.75
Train Epoch: 1 [3584000/4633221 (77%)]	lr:0.008 Loss: 0.192698	TrainAcc: 93.75
Train Epoch: 1 [3712000/4633221 (80%)]	lr:0.008 Loss: 0.178638	TrainAcc: 93.75
Train Epoch: 1 [3840000/4633221 (83%)]	lr:0.008 Loss: 0.163140	TrainAcc: 93.36
Train Epoch: 1 [3968000/4633221 (86%)]	lr:0.008 Loss: 0.143815	TrainAcc: 94.92
Train Epoch: 1 [4096000/4633221 (88%)]	lr:0.008 Loss: 0.126642	TrainAcc: 94.53
Train Epoch: 1 [4224000/4633221 (91%)]	lr:0.008 Loss: 0.134066	TrainAcc: 94.53
Train Epoch: 1 [4352000/4633221 (94%)]	lr:0.008 Loss: 0.181965	TrainAcc: 93.36
Train Epoch: 1 [4480000/4633221 (97%)]	lr:0.008 Loss: 0.183826	TrainAcc: 92.97
Train Epoch: 1 [4608000/4633221 (99%)]	lr:0.008 Loss: 0.159071	TrainAcc: 94.14
time/epoch: 315.678191s

Test set: Average loss: 0.0002, Accuracy: 448233/476257 (94.12%)

training on pkl 6
Train Epoch: 1 [0/4678924 (0%)]	lr:0.008 Loss: 0.109124	TrainAcc: 96.48
Train Epoch: 1 [128000/4678924 (3%)]	lr:0.008 Loss: 0.160363	TrainAcc: 93.75
Train Epoch: 1 [256000/4678924 (5%)]	lr:0.008 Loss: 0.108186	TrainAcc: 96.88
Train Epoch: 1 [384000/4678924 (8%)]	lr:0.008 Loss: 0.147371	TrainAcc: 94.92
Train Epoch: 1 [512000/4678924 (11%)]	lr:0.008 Loss: 0.187670	TrainAcc: 93.36
Train Epoch: 1 [640000/4678924 (14%)]	lr:0.008 Loss: 0.189291	TrainAcc: 92.58
Train Epoch: 1 [768000/4678924 (16%)]	lr:0.008 Loss: 0.124552	TrainAcc: 95.70
Train Epoch: 1 [896000/4678924 (19%)]	lr:0.008 Loss: 0.124368	TrainAcc: 93.75
Train Epoch: 1 [1024000/4678924 (22%)]	lr:0.008 Loss: 0.139998	TrainAcc: 94.92
Train Epoch: 1 [1152000/4678924 (25%)]	lr:0.008 Loss: 0.179048	TrainAcc: 95.31
Train Epoch: 1 [1280000/4678924 (27%)]	lr:0.008 Loss: 0.219926	TrainAcc: 92.58
Train Epoch: 1 [1408000/4678924 (30%)]	lr:0.008 Loss: 0.179189	TrainAcc: 94.53
Train Epoch: 1 [1536000/4678924 (33%)]	lr:0.008 Loss: 0.151892	TrainAcc: 93.36
Train Epoch: 1 [1664000/4678924 (36%)]	lr:0.008 Loss: 0.146963	TrainAcc: 94.53
Train Epoch: 1 [1792000/4678924 (38%)]	lr:0.008 Loss: 0.161852	TrainAcc: 93.75
Train Epoch: 1 [1920000/4678924 (41%)]	lr:0.008 Loss: 0.145791	TrainAcc: 92.19
Train Epoch: 1 [2048000/4678924 (44%)]	lr:0.008 Loss: 0.207874	TrainAcc: 93.36
Train Epoch: 1 [2176000/4678924 (47%)]	lr:0.008 Loss: 0.223840	TrainAcc: 91.80
Train Epoch: 1 [2304000/4678924 (49%)]	lr:0.008 Loss: 0.094055	TrainAcc: 96.09
Train Epoch: 1 [2432000/4678924 (52%)]	lr:0.008 Loss: 0.195299	TrainAcc: 93.75
Train Epoch: 1 [2560000/4678924 (55%)]	lr:0.008 Loss: 0.140121	TrainAcc: 95.31
Train Epoch: 1 [2688000/4678924 (57%)]	lr:0.008 Loss: 0.108350	TrainAcc: 94.53
Train Epoch: 1 [2816000/4678924 (60%)]	lr:0.008 Loss: 0.148061	TrainAcc: 93.75
Train Epoch: 1 [2944000/4678924 (63%)]	lr:0.008 Loss: 0.161592	TrainAcc: 94.14
Train Epoch: 1 [3072000/4678924 (66%)]	lr:0.008 Loss: 0.140977	TrainAcc: 93.75
Train Epoch: 1 [3200000/4678924 (68%)]	lr:0.008 Loss: 0.143080	TrainAcc: 92.97
Train Epoch: 1 [3328000/4678924 (71%)]	lr:0.008 Loss: 0.189981	TrainAcc: 91.41
Train Epoch: 1 [3456000/4678924 (74%)]	lr:0.008 Loss: 0.096366	TrainAcc: 96.48
Train Epoch: 1 [3584000/4678924 (77%)]	lr:0.008 Loss: 0.144473	TrainAcc: 95.31
Train Epoch: 1 [3712000/4678924 (79%)]	lr:0.008 Loss: 0.148029	TrainAcc: 94.92
Train Epoch: 1 [3840000/4678924 (82%)]	lr:0.008 Loss: 0.168474	TrainAcc: 95.31
Train Epoch: 1 [3968000/4678924 (85%)]	lr:0.008 Loss: 0.251884	TrainAcc: 89.06
Train Epoch: 1 [4096000/4678924 (88%)]	lr:0.008 Loss: 0.147319	TrainAcc: 94.14
Train Epoch: 1 [4224000/4678924 (90%)]	lr:0.008 Loss: 0.143956	TrainAcc: 93.36
Train Epoch: 1 [4352000/4678924 (93%)]	lr:0.008 Loss: 0.135320	TrainAcc: 94.14
Train Epoch: 1 [4480000/4678924 (96%)]	lr:0.008 Loss: 0.119208	TrainAcc: 95.31
Train Epoch: 1 [4608000/4678924 (98%)]	lr:0.008 Loss: 0.187147	TrainAcc: 92.19
time/epoch: 303.146462s

Test set: Average loss: 0.0001, Accuracy: 448872/476257 (94.25%)

training on pkl 7
Train Epoch: 1 [0/4713240 (0%)]	lr:0.008 Loss: 0.096449	TrainAcc: 96.48
Train Epoch: 1 [128000/4713240 (3%)]	lr:0.008 Loss: 0.105583	TrainAcc: 95.31
Train Epoch: 1 [256000/4713240 (5%)]	lr:0.008 Loss: 0.159372	TrainAcc: 94.14
Train Epoch: 1 [384000/4713240 (8%)]	lr:0.008 Loss: 0.123188	TrainAcc: 94.14
Train Epoch: 1 [512000/4713240 (11%)]	lr:0.008 Loss: 0.114614	TrainAcc: 96.09
Train Epoch: 1 [640000/4713240 (14%)]	lr:0.008 Loss: 0.112105	TrainAcc: 95.31
Train Epoch: 1 [768000/4713240 (16%)]	lr:0.008 Loss: 0.143451	TrainAcc: 94.92
Train Epoch: 1 [896000/4713240 (19%)]	lr:0.008 Loss: 0.166494	TrainAcc: 94.92
Train Epoch: 1 [1024000/4713240 (22%)]	lr:0.008 Loss: 0.122585	TrainAcc: 95.70
Train Epoch: 1 [1152000/4713240 (24%)]	lr:0.008 Loss: 0.167753	TrainAcc: 93.36
Train Epoch: 1 [1280000/4713240 (27%)]	lr:0.008 Loss: 0.165878	TrainAcc: 93.75
Train Epoch: 1 [1408000/4713240 (30%)]	lr:0.008 Loss: 0.133260	TrainAcc: 95.31
Train Epoch: 1 [1536000/4713240 (33%)]	lr:0.008 Loss: 0.194193	TrainAcc: 92.19
Train Epoch: 1 [1664000/4713240 (35%)]	lr:0.008 Loss: 0.124180	TrainAcc: 94.53
Train Epoch: 1 [1792000/4713240 (38%)]	lr:0.008 Loss: 0.137078	TrainAcc: 94.53
Train Epoch: 1 [1920000/4713240 (41%)]	lr:0.008 Loss: 0.140660	TrainAcc: 94.14
Train Epoch: 1 [2048000/4713240 (43%)]	lr:0.008 Loss: 0.108916	TrainAcc: 96.88
Train Epoch: 1 [2176000/4713240 (46%)]	lr:0.008 Loss: 0.130505	TrainAcc: 94.92
Train Epoch: 1 [2304000/4713240 (49%)]	lr:0.008 Loss: 0.126610	TrainAcc: 94.92
Train Epoch: 1 [2432000/4713240 (52%)]	lr:0.008 Loss: 0.137601	TrainAcc: 93.36
Train Epoch: 1 [2560000/4713240 (54%)]	lr:0.008 Loss: 0.147110	TrainAcc: 94.92
Train Epoch: 1 [2688000/4713240 (57%)]	lr:0.008 Loss: 0.101469	TrainAcc: 97.66
Train Epoch: 1 [2816000/4713240 (60%)]	lr:0.008 Loss: 0.152693	TrainAcc: 93.75
Train Epoch: 1 [2944000/4713240 (62%)]	lr:0.008 Loss: 0.119704	TrainAcc: 95.70
Train Epoch: 1 [3072000/4713240 (65%)]	lr:0.008 Loss: 0.103301	TrainAcc: 96.09
Train Epoch: 1 [3200000/4713240 (68%)]	lr:0.008 Loss: 0.113997	TrainAcc: 96.48
Train Epoch: 1 [3328000/4713240 (71%)]	lr:0.008 Loss: 0.217487	TrainAcc: 90.62
Train Epoch: 1 [3456000/4713240 (73%)]	lr:0.008 Loss: 0.126990	TrainAcc: 96.48
Train Epoch: 1 [3584000/4713240 (76%)]	lr:0.008 Loss: 0.093752	TrainAcc: 96.48
Train Epoch: 1 [3712000/4713240 (79%)]	lr:0.008 Loss: 0.134476	TrainAcc: 94.92
Train Epoch: 1 [3840000/4713240 (81%)]	lr:0.008 Loss: 0.159804	TrainAcc: 95.31
